vehicle_type,make,model,year,vehicle_age_years,mileage,fuel_type,transmission,engine_size_cc,severity_level,symptoms,symptom_count,probable_cause,repair_type,estimated_cost_min_mad,estimated_cost_max_mad
car,Dacia,Sandero,2023,1,270142,diesel,manual,2500,high,"coolant overflow, sweet smell from engine bay, engine overheating, coolant level dropping",4,Radiator pinhole leak,Fix coolant leak,1565,2869
car,Peugeot,208,2022,2,170573,petrol,manual,2500,medium,low oil level warning,1,Valve cover gasket leak,Fix oil leak,1476,2768
car,BMW,Serie 5,2024,0,78882,diesel,automatic,1000,critical,"AC making noise, AC not cooling well, electrical accessories failing",3,AC compressor failure,Replace AC compressor,6675,12015
moto,Yamaha,NMAX,2015,9,180406,petrol,manual,250,medium,"engine knocking noise, rough idle",2,Timing belt wear,Replace timing belt,2406,4257
bus,Volvo,9700,2016,8,120207,petrol,automatic,5000,low,"difficulty starting, high fuel consumption, rough idle",3,Spark plug electrode wear,Replace spark plugs,423,846
car,Dacia,Logan,2011,13,101830,diesel,manual,1400,critical,AC not cooling well,1,AC gas leak,Refill AC refrigerant,910,1670
car,Volkswagen,Golf,2016,8,150617,petrol,manual,2200,high,"check engine light, high fuel consumption, black smoke from exhaust",3,Failed O2 sensor,Replace oxygen sensor,1289,2363
moto,Honda,Forza,2013,11,140709,diesel,manual,125,critical,"suspension noise, excessive bouncing, vehicle wanders on road",3,Shock absorber oil leak,Replace shock absorbers,3481,6012
truck,Isuzu,NPR,2008,16,170309,petrol,manual,5000,low,"noise when braking, car pulls to one side",2,Caliper hydraulic leak,Replace brake caliper,1416,2550
car,Renault,Clio,2009,15,18871,diesel,automatic,1000,medium,"rough idle, check engine light, black smoke from exhaust, high fuel consumption",4,O2 sensor contamination,Replace oxygen sensor,922,1692
car,Hyundai,i10,2005,19,239544,hybrid,manual,1400,low,"burning smell, oil stain under vehicle, low oil level warning",3,Oil pan seal failure,Fix oil leak,1286,2412
bus,Volvo,FM,2009,15,223806,hybrid,manual,6000,medium,AC not cooling well,1,AC gas leak,Refill AC refrigerant,643,1179
car,Peugeot,Expert,2014,10,230572,hybrid,automatic,1800,high,"excessive bouncing, vehicle wanders on road, suspension noise",3,Worn shock absorbers,Replace shock absorbers,2807,4848
moto,Yamaha,R3,2023,1,258450,hybrid,manual,700,medium,"battery warning light, difficulty starting, dim headlights, electrical accessories failing",4,Alternator failure,Replace alternator,2228,3900
car,Ford,Transit,2018,6,168920,hybrid,manual,1000,high,noise when braking,1,Worn brake pads,Replace brake pads,1493,2738
truck,Ford,Focus,2019,5,100307,hybrid,automatic,6000,medium,"coolant level dropping, sweet smell from engine bay, coolant overflow",3,Cracked coolant hose,Fix coolant leak,943,1730
bus,Isuzu,NPR,2013,11,228561,hybrid,automatic,5000,high,"high fuel consumption, fuel smell, rough idle, black smoke from exhaust",4,Injector seal failure,Replace fuel injectors,2587,4916
car,Ford,Ranger,2022,2,26497,petrol,automatic,2200,medium,"rough idle, loss of power",2,Timing belt tensioner failure,Replace timing belt,1770,3131
car,Volkswagen,Caddy,2011,13,289803,hybrid,manual,1600,critical,"rough idle, engine stalls, difficulty starting",3,Spark plug electrode wear,Replace spark plugs,1196,2393
moto,Yamaha,NMAX,2013,11,327498,hybrid,automatic,400,medium,AC making noise,1,AC compressor failure,Replace AC compressor,5452,9814
car,Kia,Cerato,2010,14,170777,petrol,automatic,2500,medium,"brake pedal feels soft, noise when braking, car pulls to one side",3,Caliper hydraulic leak,Replace brake caliper,2087,3757
truck,Mercedes,E-Class,2017,7,160909,hybrid,automatic,5000,medium,"loss of power, noise when braking, brake pedal vibration",3,Warped brake disc,Replace brake discs,2182,3636
truck,Isuzu,Forward,2023,1,48789,diesel,manual,5000,low,"AC not cooling well, check engine light",2,Low refrigerant,Refill AC refrigerant,349,640
car,Dacia,Duster,2021,3,56710,petrol,automatic,1800,low,"oil stain under vehicle, low oil level warning",2,Oil pan seal failure,Fix oil leak,884,1657
car,Ford,Ranger,2008,16,273044,petrol,manual,1000,medium,"rough idle, fuel smell",2,Injector seal failure,Replace fuel injectors,2183,4148
car,Volkswagen,Passat,2022,2,280650,diesel,manual,1400,critical,difficulty changing gears,1,Gearbox synchronizer failure,Repair gearbox,11828,21966
car,Peugeot,Expert,2017,7,213503,hybrid,automatic,1400,medium,"engine overheating, white smoke from exhaust",2,Radiator corrosion,Replace radiator,2470,4180
car,Dacia,Sandero,2007,17,304711,petrol,automatic,2500,high,"coolant level dropping, sweet smell from engine bay",2,Radiator pinhole leak,Fix coolant leak,1804,3307
car,Volkswagen,Tiguan,2020,4,153464,diesel,automatic,1800,high,"low oil level warning, engine knocking noise, oil stain under vehicle",3,Oil pan seal failure,Fix oil leak,1725,3235
truck,Isuzu,D-Max,2014,10,159422,diesel,manual,3500,medium,vehicle wanders on road,1,Ball joint socket failure,Replace ball joint,1456,2549
car,Peugeot,308,2005,19,316260,petrol,automatic,2200,low,"electrical accessories failing, dim headlights, battery warning light",3,Alternator failure,Replace alternator,2247,3933
moto,Honda,CB500,2020,4,307206,petrol,manual,700,low,AC making noise,1,Compressor clutch wear,Replace AC compressor,4187,7536
car,Mercedes,Vito,2007,17,194657,diesel,automatic,1600,critical,"vehicle wanders on road, clunking when turning",2,Ball joint socket failure,Replace ball joint,2911,5094
car,Renault,Megane,2007,17,51532,hybrid,manual,1400,low,check engine light,1,O2 sensor contamination,Replace oxygen sensor,836,1533
car,Hyundai,i10,2008,16,9903,petrol,automatic,1600,high,"engine overheating, rough idle, loss of power",3,Blown head gasket,Replace head gasket,8495,14867
car,Renault,Duster,2013,11,124985,petrol,manual,2200,high,"suspension noise, excessive bouncing",2,Worn shock absorbers,Replace shock absorbers,2542,4391
bus,Volvo,B8R,2007,17,35668,hybrid,manual,8000,medium,"burning smell, engine knocking noise, oil stain under vehicle, low oil level warning",4,Valve cover gasket leak,Fix oil leak,1307,2451
truck,Isuzu,NPR,2018,6,311697,petrol,automatic,4000,medium,noise when braking,1,Brake pad degradation,Replace brake pads,1217,2232
car,Dacia,Lodgy,2014,10,141994,diesel,manual,1200,medium,"oil stain under vehicle, low oil level warning",2,Valve cover gasket leak,Fix oil leak,1517,2844
car,Volkswagen,Passat,2006,18,175604,hybrid,manual,1400,medium,"battery warning light, difficulty starting, check engine light",3,Battery cell failure,Replace battery,1153,1922
car,Ford,Kuga,2019,5,242695,diesel,manual,1200,low,"high fuel consumption, check engine light, rough idle",3,Failed O2 sensor,Replace oxygen sensor,946,1735
car,Volkswagen,Caddy,2024,0,187356,diesel,manual,1000,critical,"clutch slipping, burning smell",2,Worn clutch disc,Replace clutch kit,5440,9520
moto,Yamaha,NMAX,2010,14,293243,petrol,manual,250,medium,engine overheating,1,Stuck thermostat,Replace thermostat,1035,1841
car,Renault,Kangoo,2023,1,224182,petrol,automatic,2500,medium,"engine overheating, coolant overflow, coolant level dropping",3,Radiator corrosion,Replace radiator,2206,3733
car,Mercedes,E-Class,2012,12,26993,diesel,manual,2000,low,excessive bouncing,1,Worn shock absorbers,Replace shock absorbers,1331,2299
truck,Mercedes,Vito,2018,6,342445,petrol,automatic,3500,low,electrical accessories failing,1,Alternator failure,Replace alternator,1918,3357
moto,Yamaha,XT660,2021,3,320622,petrol,manual,700,critical,"check engine light, black smoke from exhaust",2,Failed O2 sensor,Replace oxygen sensor,2116,3879
car,Toyota,Corolla,2018,6,9566,diesel,manual,2200,medium,"car pulls to one side, noise when braking",2,Seized caliper,Replace brake caliper,1415,2547
car,Volkswagen,Tiguan,2010,14,150007,diesel,manual,1000,low,white smoke from exhaust,1,Overheating damage to gasket,Replace head gasket,5687,9953
car,Kia,Sportage,2023,1,306065,diesel,automatic,1000,critical,"rough idle, fuel smell, high fuel consumption, engine stalls",4,Clogged fuel injector,Replace fuel injectors,3596,6832
car,Hyundai,Tucson,2006,18,29974,diesel,automatic,1600,low,"AC making noise, AC not cooling well",2,AC compressor failure,Replace AC compressor,2978,5360
car,Peugeot,308,2006,18,315986,petrol,automatic,2000,high,"high fuel consumption, AC not cooling well",2,Low refrigerant,Refill AC refrigerant,957,1755
car,BMW,Serie 1,2007,17,147660,diesel,automatic,2500,high,"brake pedal vibration, noise when braking",2,Brake pad degradation,Replace brake pads,1573,2885
car,Dacia,Duster,2014,10,196539,diesel,automatic,1800,low,"AC making noise, burning smell",2,Compressor clutch wear,Replace AC compressor,3766,6779
car,Renault,Duster,2023,1,332865,diesel,manual,1800,high,"coolant level dropping, sweet smell from engine bay, engine overheating",3,Cracked coolant hose,Fix coolant leak,1592,2919
car,Ford,Kuga,2009,15,178971,diesel,automatic,2200,low,"rough idle, engine knocking noise, black smoke from exhaust",3,Timing belt tensioner failure,Replace timing belt,1952,3454
moto,Honda,CBR600,2021,3,50444,petrol,manual,400,medium,coolant level dropping,1,Radiator pinhole leak,Fix coolant leak,887,1627
moto,Honda,PCX,2019,5,107671,petrol,manual,125,low,"engine overheating, coolant level dropping",2,Overheating damage to gasket,Replace head gasket,4923,8615
moto,Yamaha,R3,2011,13,87756,diesel,automatic,125,medium,"engine overheating, coolant overflow",2,Radiator corrosion,Replace radiator,2393,4050
car,Ford,Ranger,2023,1,68560,petrol,manual,1200,low,engine overheating,1,Blown head gasket,Replace head gasket,4403,7705
car,Dacia,Duster,2009,15,268210,petrol,manual,2000,medium,"rough idle, engine overheating",2,Thermostat valve failure,Replace thermostat,946,1683
car,BMW,Serie 1,2011,13,125615,hybrid,automatic,2500,critical,"white smoke from exhaust, engine overheating, coolant level dropping",3,Overheating damage to gasket,Replace head gasket,11594,20290
car,Renault,Megane,2006,18,135246,hybrid,automatic,1000,high,"white smoke from exhaust, engine overheating",2,Blown head gasket,Replace head gasket,10093,17663
truck,Ford,Kuga,2007,17,272530,hybrid,manual,3500,medium,engine overheating,1,Stuck thermostat,Replace thermostat,1101,1957
truck,Isuzu,D-Max,2008,16,276828,diesel,automatic,4000,high,"coolant overflow, engine overheating, coolant level dropping",3,Radiator corrosion,Replace radiator,3821,6466
truck,Mercedes,Vito,2020,4,39652,diesel,manual,3000,medium,"suspension noise, vehicle wanders on road, excessive bouncing, clunking when turning",4,Shock absorber oil leak,Replace shock absorbers,1711,2957
car,Volkswagen,Golf,2007,17,349552,petrol,automatic,2200,medium,"loss of power, transmission jerking, difficulty changing gears, gear slipping",4,Gearbox bearing wear,Repair gearbox,8889,16509
truck,Mercedes,A-Class,2017,7,335914,hybrid,manual,3500,medium,"brake pedal feels soft, burning smell, car pulls to one side, noise when braking",4,Caliper hydraulic leak,Replace brake caliper,2246,4044
moto,Yamaha,NMAX,2008,16,310786,diesel,automatic,125,medium,"rough idle, engine knocking noise, check engine light",3,Timing belt wear,Replace timing belt,3278,5800
car,Volkswagen,Passat,2017,7,347326,diesel,automatic,1200,low,"noise when braking, brake pedal vibration",2,Warped brake disc,Replace brake discs,2151,3585
car,Dacia,Logan,2023,1,128852,diesel,automatic,2200,low,"clunking when turning, vehicle wanders on road, excessive bouncing",3,Ball joint wear,Replace ball joint,1011,1770
car,Renault,Megane,2005,19,98960,petrol,manual,1600,medium,"coolant overflow, coolant level dropping, engine overheating",3,Cracked coolant hose,Fix coolant leak,1149,2106
moto,Yamaha,NMAX,2005,19,113027,petrol,manual,700,medium,"excessive bouncing, suspension noise",2,Shock absorber oil leak,Replace shock absorbers,2140,3697
car,Kia,Carnival,2020,4,33018,hybrid,manual,1400,medium,"engine knocking noise, rough idle",2,Timing belt wear,Replace timing belt,1737,3074
truck,Mercedes,A-Class,2011,13,346453,petrol,manual,5000,high,excessive bouncing,1,Shock absorber oil leak,Replace shock absorbers,3239,5595
car,Volkswagen,Passat,2009,15,253095,petrol,automatic,1400,medium,"loss of power, difficulty changing gears, transmission jerking",3,Gearbox bearing wear,Repair gearbox,7818,14520
car,Toyota,Corolla,2022,2,252606,diesel,manual,2500,low,"dim headlights, battery warning light, difficulty starting",3,Dead battery,Replace battery,853,1423
moto,Honda,Forza,2018,6,7319,diesel,manual,250,high,"difficulty changing gears, gear slipping, loss of power, transmission jerking",4,Gearbox bearing wear,Repair gearbox,6012,11166
car,Mercedes,E-Class,2005,19,168860,petrol,manual,1600,critical,"gear slipping, difficulty changing gears, transmission jerking",3,Gearbox bearing wear,Repair gearbox,12789,23751
car,Volkswagen,Tiguan,2022,2,244654,hybrid,manual,2200,high,"suspension noise, vehicle wanders on road, excessive bouncing",3,Worn shock absorbers,Replace shock absorbers,2743,4738
car,Ford,Fiesta,2021,3,40496,diesel,automatic,1200,medium,AC not cooling well,1,AC gas leak,Refill AC refrigerant,451,827
moto,Yamaha,XT660,2015,9,286618,hybrid,automatic,600,high,"gear slipping, difficulty changing gears, loss of power, transmission jerking",4,Gearbox synchronizer failure,Repair gearbox,9166,17023
moto,Yamaha,XT660,2006,18,5664,petrol,manual,125,medium,"loss of power, difficulty changing gears, transmission jerking",3,Gearbox bearing wear,Repair gearbox,5390,10010
car,Mercedes,E-Class,2009,15,329290,petrol,automatic,1800,medium,"engine overheating, difficulty starting, high fuel consumption",3,Stuck thermostat,Replace thermostat,1105,1964
moto,Yamaha,R3,2006,18,192063,hybrid,automatic,250,critical,"battery warning light, dim headlights, difficulty starting",3,Battery cell failure,Replace battery,1995,3326
truck,Mercedes,A-Class,2009,15,123987,petrol,manual,6000,medium,"high fuel consumption, loss of power, difficulty starting, rough idle",4,Fouled spark plugs,Replace spark plugs,548,1096
car,Peugeot,208,2010,14,262129,petrol,automatic,2200,high,difficulty changing gears,1,Gearbox synchronizer failure,Repair gearbox,10048,18662
moto,Honda,PCX,2019,5,192985,petrol,manual,600,low,"AC not cooling well, check engine light",2,Low refrigerant,Refill AC refrigerant,450,826
truck,Isuzu,N-Series,2013,11,60825,hybrid,automatic,4000,high,"noise when braking, burning smell, car pulls to one side",3,Caliper hydraulic leak,Replace brake caliper,2034,3661
truck,Ford,Fiesta,2019,5,194886,diesel,manual,4000,low,"loss of power, engine stalls, rough idle, high fuel consumption",4,Fouled spark plugs,Replace spark plugs,421,843
moto,Honda,CBR600,2023,1,171274,diesel,manual,600,medium,"difficulty starting, engine stalls, rough idle, high fuel consumption",4,Fouled spark plugs,Replace spark plugs,514,1028
bus,Volvo,B8R,2007,17,349842,hybrid,automatic,6000,low,"vehicle wanders on road, clunking when turning",2,Ball joint wear,Replace ball joint,1598,2796
truck,Mercedes,Sprinter,2007,17,119809,petrol,manual,4000,medium,"car pulls to one side, brake pedal feels soft",2,Seized caliper,Replace brake caliper,1976,3557
car,Mercedes,E-Class,2015,9,48637,petrol,automatic,1200,medium,"low oil level warning, oil stain under vehicle, burning smell",3,Valve cover gasket leak,Fix oil leak,1319,2474
car,Kia,Carnival,2005,19,115964,diesel,manual,2000,high,"car pulls to one side, brake pedal feels soft, burning smell",3,Seized caliper,Replace brake caliper,2406,4331
moto,Yamaha,FZ6,2012,12,194453,hybrid,automatic,400,critical,"rough idle, fuel smell",2,Clogged fuel injector,Replace fuel injectors,3432,6520
bus,Mercedes,E-Class,2014,10,268907,hybrid,manual,5000,high,"rough idle, loss of power, difficulty starting",3,Fouled spark plugs,Replace spark plugs,820,1640
truck,Ford,Fiesta,2007,17,301431,petrol,manual,4000,low,"noise when braking, brake pedal vibration",2,Worn brake pads,Replace brake pads,1097,2012
moto,Honda,CBR600,2006,18,339531,petrol,manual,700,medium,"high fuel consumption, AC not cooling well",2,AC gas leak,Refill AC refrigerant,716,1313
car,BMW,X3,2012,12,279520,petrol,automatic,2200,medium,AC making noise,1,AC compressor failure,Replace AC compressor,5796,10434
moto,Honda,PCX,2018,6,267289,petrol,manual,400,medium,burning smell,1,Worn clutch disc,Replace clutch kit,3764,6587
bus,Volvo,FM,2015,9,285917,diesel,manual,5000,high,"dim headlights, electrical accessories failing, battery warning light",3,Alternator failure,Replace alternator,3423,5990
car,BMW,X5,2019,5,11748,diesel,manual,2000,high,"suspension noise, excessive bouncing, clunking when turning",3,Shock absorber oil leak,Replace shock absorbers,2151,3716
truck,Mercedes,E-Class,2011,13,116419,diesel,automatic,6000,medium,noise when braking,1,Disc surface wear,Replace brake discs,2152,3588
car,Mercedes,Vito,2023,1,171374,petrol,manual,1000,critical,brake pedal feels soft,1,Brake pad degradation,Replace brake pads,1728,3168
car,Kia,Rio,2008,16,163045,diesel,manual,2500,low,"loss of power, engine knocking noise, rough idle, check engine light",4,Timing belt wear,Replace timing belt,1879,3325
moto,Yamaha,FZ6,2022,2,107070,diesel,manual,600,high,"engine overheating, white smoke from exhaust, coolant level dropping",3,Blown head gasket,Replace head gasket,8205,14359
car,Peugeot,206,2015,9,27447,diesel,manual,1600,high,"brake pedal vibration, noise when braking",2,Worn brake pads,Replace brake pads,1262,2314
bus,Mercedes,Vito,2016,8,217353,petrol,automatic,6000,high,"battery warning light, difficulty starting",2,Battery cell failure,Replace battery,1501,2502
car,BMW,X3,2011,13,27258,diesel,manual,1000,low,"burning smell, clutch slipping",2,Worn clutch disc,Replace clutch kit,2538,4441
truck,Ford,Ranger,2018,6,181159,diesel,automatic,3500,high,"difficulty changing gears, loss of power, transmission jerking",3,Gearbox synchronizer failure,Repair gearbox,7817,14517
moto,Honda,CBR600,2009,15,276016,diesel,manual,600,critical,"low oil level warning, oil stain under vehicle, burning smell",3,Oil pan seal failure,Fix oil leak,2848,5341
car,Dacia,Lodgy,2017,7,151344,diesel,automatic,1600,high,"electrical accessories failing, difficulty starting",2,Alternator belt wear,Replace alternator,2577,4509
truck,Mercedes,E-Class,2017,7,106009,hybrid,manual,5000,medium,"gear slipping, transmission jerking, difficulty changing gears",3,Gearbox synchronizer failure,Repair gearbox,5623,10442
moto,Honda,CRF,2012,12,314731,petrol,manual,400,high,"electrical accessories failing, battery warning light",2,Alternator failure,Replace alternator,3349,5861
moto,Honda,CB500,2020,4,40276,petrol,automatic,125,critical,"engine knocking noise, oil stain under vehicle, low oil level warning",3,Oil pan seal failure,Fix oil leak,1917,3594
car,Kia,Rio,2017,7,220821,hybrid,manual,1400,medium,"brake pedal vibration, noise when braking",2,Disc surface wear,Replace brake discs,2470,4116
bus,Volvo,FH16,2009,15,187624,diesel,automatic,8000,high,"noise when braking, brake pedal feels soft, brake pedal vibration",3,Worn brake pads,Replace brake pads,1529,2804
moto,Yamaha,XT660,2015,9,329828,petrol,manual,700,critical,"high fuel consumption, fuel smell",2,Injector seal failure,Replace fuel injectors,3811,7242
car,Ford,Ranger,2016,8,260255,diesel,manual,1400,medium,"brake pedal feels soft, noise when braking, car pulls to one side, brake pedal vibration",4,Worn brake pads,Replace brake pads,1208,2216
car,Hyundai,i30,2011,13,280507,hybrid,manual,2500,medium,"high fuel consumption, fuel smell, black smoke from exhaust",3,Clogged fuel injector,Replace fuel injectors,2377,4516
moto,Honda,CB500,2008,16,161852,petrol,manual,400,critical,"vehicle wanders on road, excessive bouncing, suspension noise",3,Shock absorber oil leak,Replace shock absorbers,3770,6513
car,Hyundai,Tucson,2009,15,232640,diesel,automatic,1800,high,"engine stalls, loss of power, difficulty starting, high fuel consumption",4,Spark plug electrode wear,Replace spark plugs,855,1711
moto,Honda,CRF,2014,10,251515,diesel,manual,125,medium,"excessive bouncing, clunking when turning, vehicle wanders on road",3,Ball joint wear,Replace ball joint,1620,2835
car,Kia,Sportage,2012,12,132884,hybrid,automatic,1000,critical,engine overheating,1,Thermostat valve failure,Replace thermostat,1322,2351
bus,Volvo,FM,2020,4,306840,petrol,manual,8000,high,"difficulty starting, loss of power, engine stalls, rough idle",4,Spark plug electrode wear,Replace spark plugs,751,1502
car,Ford,Ranger,2021,3,344023,petrol,manual,1600,critical,"rough idle, engine overheating",2,Thermostat valve failure,Replace thermostat,1728,3072
car,Ford,Ranger,2007,17,181449,hybrid,manual,1600,critical,AC not cooling well,1,Low refrigerant,Refill AC refrigerant,1013,1857
truck,Mercedes,C-Class,2007,17,88939,diesel,automatic,4000,high,"high fuel consumption, fuel smell, engine stalls",3,Clogged fuel injector,Replace fuel injectors,2477,4707
moto,Honda,CBR600,2016,8,192732,hybrid,manual,125,low,"rough idle, check engine light",2,Failed O2 sensor,Replace oxygen sensor,927,1701
car,Volkswagen,Passat,2012,12,31604,hybrid,manual,1200,critical,oil stain under vehicle,1,Oil pan seal failure,Fix oil leak,2008,3765
car,Renault,Clio,2019,5,166520,diesel,automatic,1200,high,"high fuel consumption, engine overheating, difficulty starting",3,Thermostat valve failure,Replace thermostat,1011,1797
bus,Isuzu,N-Series,2012,12,198659,hybrid,automatic,6000,critical,"brake pedal vibration, noise when braking, vehicle wanders on road",3,Warped brake disc,Replace brake discs,4222,7038
car,Toyota,Yaris,2019,5,31110,diesel,manual,2000,critical,"clunking when turning, suspension noise, vehicle wanders on road",3,Ball joint wear,Replace ball joint,1874,3280
moto,Yamaha,MT-07,2012,12,37962,petrol,manual,125,high,"high fuel consumption, rough idle, fuel smell",3,Injector seal failure,Replace fuel injectors,2199,4179
moto,Honda,PCX,2022,2,186511,hybrid,automatic,700,medium,vehicle wanders on road,1,Ball joint socket failure,Replace ball joint,1328,2324
car,Toyota,Hilux,2015,9,7399,petrol,manual,1400,low,"AC not cooling well, AC making noise",2,AC compressor failure,Replace AC compressor,2655,4780
bus,Mercedes,Sprinter,2005,19,72078,hybrid,manual,5000,high,"dim headlights, battery warning light",2,Alternator failure,Replace alternator,2931,5130
car,Toyota,RAV4,2010,14,34083,petrol,automatic,1000,medium,"difficulty changing gears, transmission jerking, burning smell",3,Worn clutch disc,Replace clutch kit,3144,5503
truck,Ford,Kuga,2010,14,325960,diesel,automatic,5000,critical,"rough idle, engine stalls, loss of power, high fuel consumption",4,Spark plug electrode wear,Replace spark plugs,1248,2497
truck,Mercedes,Vito,2010,14,229194,diesel,manual,6000,medium,"high fuel consumption, difficulty starting",2,Thermostat valve failure,Replace thermostat,889,1581
car,Mercedes,Vito,2017,7,289554,hybrid,manual,1400,high,check engine light,1,O2 sensor contamination,Replace oxygen sensor,1545,2833
bus,Mercedes,Sprinter,2013,11,209660,petrol,automatic,8000,high,engine overheating,1,Thermostat valve failure,Replace thermostat,1173,2086
car,Volkswagen,Caddy,2011,13,242603,hybrid,automatic,2000,critical,"high fuel consumption, rough idle",2,Thermostat valve failure,Replace thermostat,1711,3041
truck,Mercedes,Vito,2007,17,220996,petrol,automatic,5000,low,"engine overheating, coolant level dropping",2,Radiator corrosion,Replace radiator,2096,3548
moto,Yamaha,FZ6,2012,12,338500,hybrid,automatic,600,high,coolant overflow,1,Radiator crack,Replace radiator,3825,6474
bus,Mercedes,A-Class,2010,14,258469,diesel,automatic,6000,medium,"electrical accessories failing, battery warning light, difficulty starting",3,Alternator failure,Replace alternator,2471,4324
car,Ford,Focus,2014,10,243457,hybrid,manual,1400,low,brake pedal vibration,1,Disc surface wear,Replace brake discs,1848,3080
car,Toyota,Corolla,2009,15,108454,diesel,automatic,1800,high,"sweet smell from engine bay, engine overheating, coolant level dropping",3,Cracked coolant hose,Fix coolant leak,1379,2529
car,Mercedes,Vito,2008,16,179519,diesel,manual,1200,high,oil stain under vehicle,1,Valve cover gasket leak,Fix oil leak,2068,3878
car,Renault,Clio,2018,6,32012,petrol,automatic,2200,high,"suspension noise, excessive bouncing, vehicle wanders on road",3,Shock absorber oil leak,Replace shock absorbers,2098,3623
moto,Yamaha,XT660,2007,17,192409,diesel,automatic,125,medium,"white smoke from exhaust, coolant level dropping",2,Radiator corrosion,Replace radiator,2693,4557
car,Hyundai,Tucson,2008,16,115675,petrol,automatic,1400,high,burning smell,1,Clutch pressure plate failure,Replace clutch kit,4763,8336
car,Kia,Carnival,2009,15,302426,diesel,automatic,1800,low,engine overheating,1,Stuck thermostat,Replace thermostat,836,1487
car,Peugeot,Partner,2005,19,201090,diesel,automatic,2500,low,"excessive bouncing, clunking when turning, suspension noise",3,Worn shock absorbers,Replace shock absorbers,1851,3197
moto,Yamaha,XT660,2022,2,119699,petrol,automatic,400,critical,"check engine light, loss of power, rough idle",3,Timing belt tensioner failure,Replace timing belt,3653,6463
moto,Yamaha,R3,2013,11,164219,diesel,manual,600,medium,"coolant overflow, engine overheating",2,Radiator crack,Replace radiator,2324,3934
car,Mercedes,Sprinter,2010,14,33924,hybrid,automatic,2000,high,"noise when braking, brake pedal feels soft, car pulls to one side, burning smell",4,Caliper hydraulic leak,Replace brake caliper,2083,3749
bus,Mercedes,E-Class,2006,18,132203,diesel,manual,6000,critical,"high fuel consumption, rough idle, fuel smell",3,Clogged fuel injector,Replace fuel injectors,3105,5899
car,Dacia,Sandero,2012,12,66789,diesel,manual,1000,medium,"coolant level dropping, coolant overflow",2,Radiator crack,Replace radiator,2232,3777
truck,Ford,Fiesta,2016,8,207687,petrol,manual,3500,low,"difficulty starting, battery warning light",2,Battery cell failure,Replace battery,835,1392
car,Volkswagen,Caddy,2021,3,78098,petrol,manual,2000,low,"battery warning light, difficulty starting, electrical accessories failing",3,Alternator belt wear,Replace alternator,1389,2430
car,Toyota,RAV4,2021,3,22717,petrol,manual,1800,medium,AC not cooling well,1,Low refrigerant,Refill AC refrigerant,450,825
car,Hyundai,Tucson,2012,12,337893,diesel,manual,2500,high,"dim headlights, electrical accessories failing",2,Alternator failure,Replace alternator,3743,6550
truck,Isuzu,N-Series,2008,16,46483,hybrid,manual,6000,critical,oil stain under vehicle,1,Oil pan seal failure,Fix oil leak,2437,4570
car,Hyundai,i30,2021,3,283614,petrol,automatic,1800,high,"rough idle, engine stalls",2,Fouled spark plugs,Replace spark plugs,802,1604
bus,Isuzu,N-Series,2014,10,37445,hybrid,manual,8000,critical,"brake pedal vibration, noise when braking",2,Worn brake pads,Replace brake pads,1544,2831
