vehicle_type,make,model,year,vehicle_age_years,mileage,fuel_type,transmission,engine_size_cc,severity_level,symptoms,symptom_count,probable_cause,repair_type,estimated_cost_min_mad,estimated_cost_max_mad
car,Volkswagen,Passat,2021,3,280203,hybrid,manual,2500,high,"rough idle at startup, engine misfires, hard to start when cold",3,Spark plug electrode wear,Replace spark plugs,836,1672
car,Toyota,RAV4,2023,1,208050,diesel,automatic,1800,critical,"ticking noise from engine top, engine wont start suddenly",2,Timing belt tensioner failure,Replace timing belt,3824,6765
car,Mercedes,A-Class,2007,17,162728,diesel,manual,1800,high,"AC weak airflow, AC blows warm air",2,Low refrigerant,Refill AC refrigerant,732,1343
car,BMW,X3,2005,19,18214,petrol,manual,1400,low,"electrical accessories failing, battery warning light, battery drains while driving",3,Alternator belt wear,Replace alternator,1404,2457
moto,Yamaha,MT-07,2017,7,91894,petrol,automatic,400,high,"AC not cooling, AC compressor noise, burning smell",3,Compressor clutch wear,Replace AC compressor,4985,8973
car,BMW,Serie 3,2018,6,265709,hybrid,automatic,2200,low,"battery warning light, alternator warning light, electrical accessories failing",3,Alternator failure,Replace alternator,1941,3397
moto,Yamaha,FZ6,2024,0,140051,diesel,automatic,125,medium,"battery drains while driving, electrical accessories failing",2,Alternator belt wear,Replace alternator,1775,3107
truck,Isuzu,Forward,2015,9,221022,petrol,automatic,3000,medium,"brake pedal soft, squeaking brakes",2,Worn brake pads,Replace brake pads,1222,2241
car,Mercedes,E-Class,2024,0,268088,hybrid,automatic,1000,medium,"milky oil on dipstick, white smoke from exhaust",2,Overheating damage to gasket,Replace head gasket,7930,13878
car,Toyota,RAV4,2018,6,291845,petrol,manual,2200,high,"visible radiator leak, engine overheating",2,Radiator corrosion,Replace radiator,3323,5624
car,Hyundai,i30,2017,7,83384,hybrid,manual,2000,critical,"visible radiator leak, engine overheating, coolant overflow, coolant loss",4,Radiator corrosion,Replace radiator,3604,6100
car,BMW,Serie 3,2013,11,313666,hybrid,manual,1400,high,"grinding noise when shifting, gear pops out, transmission jerking",3,Gearbox synchronizer failure,Repair gearbox,9499,17641
moto,Honda,CBR600,2014,10,106600,hybrid,automatic,600,medium,"brake pedal vibration, uneven brake wear, car pulls to one side when braking",3,Caliper hydraulic leak,Replace brake caliper,1776,3197
truck,Ford,Transit,2013,11,232066,hybrid,automatic,5000,medium,"AC blows warm air, AC weak airflow, AC not cooling",3,Low refrigerant,Refill AC refrigerant,646,1185
moto,Yamaha,FZ6,2019,5,45055,petrol,manual,125,medium,"squeaking brakes, suspension noise, brake pedal soft",3,Worn brake pads,Replace brake pads,849,1557
car,Renault,Symbol,2018,6,181505,diesel,automatic,1800,medium,"grinding noise when shifting, gear pops out",2,Gearbox synchronizer failure,Repair gearbox,6058,11252
bus,Mercedes,E-Class,2011,13,189819,hybrid,manual,5000,critical,"gear pops out, transmission jerking",2,Gearbox synchronizer failure,Repair gearbox,12552,23311
car,Hyundai,Tucson,2018,6,176752,diesel,automatic,1800,high,"difficulty starting, dim headlights, car does not start",3,Dead battery,Replace battery,1487,2479
moto,Honda,PCX,2015,9,141669,petrol,automatic,125,low,"battery warning light, car does not start",2,Battery cell failure,Replace battery,787,1313
car,Hyundai,i20,2006,18,202580,diesel,automatic,2200,low,"engine overheating, heater not working, engine slow to warm up",3,Stuck thermostat,Replace thermostat,677,1204
car,Toyota,Hilux,2011,13,51428,diesel,automatic,1000,high,"poor fuel consumption, fuel smell in cabin, engine hesitation on acceleration",3,Clogged fuel injector,Replace fuel injectors,2057,3909
car,Mercedes,A-Class,2013,11,120202,petrol,manual,1600,high,fuel smell in cabin,1,Clogged fuel injector,Replace fuel injectors,2320,4409
car,Kia,Sportage,2015,9,343569,diesel,automatic,1800,low,"engine wont start suddenly, engine knocking noise, ticking noise from engine top",3,Timing belt wear,Replace timing belt,2409,4262
truck,Isuzu,N-Series,2015,9,71408,hybrid,automatic,3000,medium,"coolant level dropping, coolant puddle under car, sweet smell from engine",3,Cracked coolant hose,Fix coolant leak,901,1653
car,Dacia,Duster,2011,13,287645,diesel,automatic,2500,medium,coolant overflow,1,Radiator corrosion,Replace radiator,2954,4999
car,Mercedes,Vito,2005,19,194416,petrol,manual,2200,high,engine wont start suddenly,1,Timing belt wear,Replace timing belt,3591,6354
car,BMW,X3,2005,19,262663,hybrid,manual,1200,medium,milky oil on dipstick,1,Overheating damage to gasket,Replace head gasket,9276,16233
truck,Ford,Kuga,2013,11,134705,diesel,manual,3000,medium,"engine wont start suddenly, engine knocking noise, loss of power",3,Timing belt tensioner failure,Replace timing belt,2397,4241
car,Dacia,Logan,2023,1,225169,petrol,manual,2200,medium,"battery drains while driving, electrical accessories failing",2,Alternator failure,Replace alternator,2040,3570
car,Volkswagen,Caddy,2011,13,121051,hybrid,manual,1600,medium,"brake pedal soft, brake pedal vibration, squeaking brakes",3,Worn brake pads,Replace brake pads,1040,1907
car,Hyundai,Santa Fe,2019,5,185883,petrol,manual,2500,medium,brake pedal soft,1,Brake pad degradation,Replace brake pads,1079,1979
truck,Isuzu,Forward,2012,12,317018,petrol,manual,3500,medium,"grinding brake noise, brake pedal vibration",2,Warped brake disc,Replace brake discs,2823,4705
moto,Honda,CB500,2017,7,186336,petrol,manual,700,medium,white smoke from exhaust,1,Overheating damage to gasket,Replace head gasket,7364,12887
car,BMW,Serie 3,2015,9,235200,petrol,automatic,2500,medium,"car does not start, battery warning light, dim headlights",3,Dead battery,Replace battery,1117,1863
car,Peugeot,208,2017,7,24635,diesel,automatic,1000,low,"steering wheel vibration, grinding brake noise, brake vibration at high speed",3,Disc surface wear,Replace brake discs,1357,2263
bus,Volvo,FM,2014,10,286132,hybrid,manual,8000,medium,grinding noise when shifting,1,Gearbox synchronizer failure,Repair gearbox,7450,13835
moto,Honda,CB500,2007,17,101473,petrol,manual,600,medium,"milky oil on dipstick, coolant loss, rough idle",3,Blown head gasket,Replace head gasket,7428,12999
car,Mercedes,C-Class,2019,5,13892,diesel,manual,1600,critical,"uneven brake wear, car pulls to one side when braking",2,Seized caliper,Replace brake caliper,2353,4236
moto,Yamaha,MT-07,2008,16,163581,diesel,automatic,250,low,"check engine light on, black smoke from exhaust",2,Failed O2 sensor,Replace oxygen sensor,941,1726
bus,Mercedes,Sprinter,2005,19,110809,petrol,automatic,8000,high,"engine overheating, coolant puddle under car",2,Cracked coolant hose,Fix coolant leak,1512,2772
truck,Isuzu,Forward,2023,1,121791,hybrid,automatic,4000,low,"AC compressor noise, AC clutch not engaging",2,Compressor clutch wear,Replace AC compressor,2975,5355
car,Mercedes,Sprinter,2018,6,234111,hybrid,automatic,2200,high,"heater not working, engine slow to warm up",2,Stuck thermostat,Replace thermostat,1148,2042
car,BMW,Serie 5,2024,0,242825,hybrid,manual,1600,high,"suspension noise, excessive bouncing after bump",2,Worn shock absorbers,Replace shock absorbers,2739,4732
moto,Yamaha,XT660,2005,19,340183,hybrid,automatic,600,medium,"battery drains while driving, alternator warning light",2,Alternator failure,Replace alternator,2838,4966
moto,Yamaha,XT660,2023,1,331036,hybrid,manual,600,high,"visible radiator leak, coolant overflow",2,Radiator corrosion,Replace radiator,3653,6182
moto,Yamaha,MT-07,2019,5,257184,diesel,manual,250,high,"engine hesitation on acceleration, rough idle",2,Clogged fuel injector,Replace fuel injectors,2568,4880
car,Hyundai,i30,2008,16,289223,hybrid,manual,2500,high,"oil stain under car, blue smoke from exhaust",2,Valve cover gasket leak,Fix oil leak,2228,4178
car,Toyota,Yaris,2016,8,80527,hybrid,manual,2200,medium,"steering wheel vibration, grinding brake noise, brake vibration at high speed",3,Disc surface wear,Replace brake discs,2019,3365
moto,Yamaha,NMAX,2013,11,285494,diesel,automatic,600,high,"ticking noise from engine top, loss of power, engine wont start suddenly",3,Timing belt wear,Replace timing belt,3658,6473
car,Volkswagen,Passat,2006,18,98456,petrol,automatic,1600,high,ticking noise from engine top,1,Timing belt tensioner failure,Replace timing belt,3316,5867
car,Ford,Transit,2013,11,296500,diesel,manual,1200,critical,"engine hesitation on acceleration, poor fuel consumption, rough idle, fuel smell in cabin",4,Injector seal failure,Replace fuel injectors,3673,6979
moto,Yamaha,XT660,2008,16,32540,diesel,manual,250,low,"difficulty starting, car does not start, battery warning light",3,Dead battery,Replace battery,758,1264
moto,Yamaha,MT-07,2012,12,271040,hybrid,automatic,250,medium,"gear pops out, transmission jerking, gear slipping",3,Gearbox synchronizer failure,Repair gearbox,7254,13472
bus,Volvo,B8R,2011,13,288013,hybrid,manual,6000,high,"engine overheating, poor fuel consumption, heater not working",3,Stuck thermostat,Replace thermostat,1401,2490
car,Ford,Focus,2013,11,138118,petrol,automatic,1200,medium,"clunking noise when turning, front end wandering",2,Ball joint wear,Replace ball joint,1460,2555
bus,Volvo,9700,2010,14,15171,hybrid,manual,8000,medium,"battery warning light, car does not start",2,Battery cell failure,Replace battery,992,1654
moto,Honda,PCX,2024,0,260070,hybrid,automatic,700,medium,"car pulls to one side when braking, uneven brake wear",2,Seized caliper,Replace brake caliper,1903,3426
car,Peugeot,Partner,2008,16,271707,petrol,manual,1800,low,"AC blows warm air, AC not cooling, AC weak airflow",3,Low refrigerant,Refill AC refrigerant,488,895
car,Hyundai,i10,2021,3,317584,hybrid,manual,1800,low,"engine knocking noise, loss of power, engine wont start suddenly",3,Timing belt wear,Replace timing belt,2112,3737
bus,Isuzu,N-Series,2014,10,331695,diesel,automatic,5000,low,"oil burning smell, oil stain under car",2,Valve cover gasket leak,Fix oil leak,1491,2795
car,Hyundai,i20,2022,2,257987,petrol,automatic,1800,medium,"battery warning light, difficulty starting",2,Dead battery,Replace battery,1215,2025
car,Peugeot,Partner,2005,19,341048,petrol,automatic,1600,medium,"front end wandering, clunking noise when turning",2,Ball joint wear,Replace ball joint,1924,3367
truck,Ford,Transit,2023,1,337309,hybrid,automatic,4000,high,"grinding noise when shifting, gear slipping, transmission jerking, gear pops out",4,Gearbox synchronizer failure,Repair gearbox,9495,17634
car,Ford,Ranger,2020,4,36121,hybrid,automatic,2200,medium,"clutch pedal spongy, clutch hard to press",2,Worn clutch disc,Replace clutch kit,2869,5021
moto,Honda,CBR600,2018,6,117608,petrol,automatic,125,high,"engine overheating, coolant level dropping, coolant puddle under car",3,Radiator pinhole leak,Fix coolant leak,1366,2504
car,Peugeot,208,2022,2,337189,hybrid,automatic,1800,critical,"brake vibration at high speed, steering wheel vibration, grinding brake noise, brake pedal vibration",4,Disc surface wear,Replace brake discs,4158,6930
car,Kia,Carnival,2017,7,175495,petrol,manual,1400,low,"poor fuel consumption, black smoke from exhaust, failed emissions test, check engine light on",4,O2 sensor contamination,Replace oxygen sensor,906,1662
truck,Ford,Fiesta,2020,4,47039,hybrid,manual,6000,high,"ticking noise from engine top, engine wont start suddenly",2,Timing belt tensioner failure,Replace timing belt,2371,4195
car,Toyota,Hilux,2013,11,72843,hybrid,manual,1400,low,AC weak airflow,1,AC gas leak,Refill AC refrigerant,358,656
car,Kia,Picanto,2024,0,15810,petrol,automatic,1800,low,"grinding noise when shifting, gear slipping, transmission jerking",3,Gearbox synchronizer failure,Repair gearbox,3356,6233
car,Kia,Carnival,2006,18,69331,diesel,automatic,1600,medium,burning smell when changing gears,1,Worn clutch disc,Replace clutch kit,3567,6243
car,Toyota,Hilux,2013,11,329387,petrol,automatic,1400,medium,AC compressor noise,1,Compressor clutch wear,Replace AC compressor,5273,9491
car,Hyundai,i20,2014,10,12978,hybrid,manual,2500,high,"rough idle, white smoke from exhaust",2,Overheating damage to gasket,Replace head gasket,8273,14477
truck,Isuzu,Forward,2020,4,12736,petrol,automatic,6000,high,"uneven brake wear, burning smell",2,Seized caliper,Replace brake caliper,1873,3372
bus,Mercedes,E-Class,2008,16,185218,hybrid,manual,5000,medium,"grinding brake noise, brake pedal vibration, brake vibration at high speed",3,Warped brake disc,Replace brake discs,2424,4040
car,Toyota,Land Cruiser,2008,16,211897,petrol,automatic,1400,low,poor fuel consumption,1,Spark plug electrode wear,Replace spark plugs,520,1040
car,Renault,Megane,2015,9,112987,hybrid,manual,2200,high,"poor fuel consumption, engine overheating, heater not working, engine slow to warm up",4,Stuck thermostat,Replace thermostat,1076,1913
car,BMW,X3,2019,5,219059,hybrid,automatic,2200,low,"coolant loss, white smoke from exhaust, milky oil on dipstick",3,Overheating damage to gasket,Replace head gasket,5863,10261
bus,Isuzu,N-Series,2023,1,224676,petrol,manual,6000,medium,"AC blows warm air, AC weak airflow",2,AC gas leak,Refill AC refrigerant,576,1056
moto,Honda,CRF,2017,7,184970,petrol,automatic,125,medium,"car pulls to one side when braking, uneven brake wear",2,Seized caliper,Replace brake caliper,1697,3055
car,Hyundai,i10,2020,4,182888,hybrid,manual,1200,high,"battery warning light, dim headlights, car does not start",3,Battery cell failure,Replace battery,1459,2433
moto,Honda,PCX,2020,4,105209,hybrid,automatic,600,medium,failed emissions test,1,Failed O2 sensor,Replace oxygen sensor,951,1745
car,Volkswagen,Polo,2009,15,220806,diesel,manual,1000,critical,"grinding brake noise, brake pedal vibration",2,Warped brake disc,Replace brake discs,3961,6602
car,Toyota,Land Cruiser,2010,14,179067,diesel,automatic,1000,high,"poor fuel consumption, engine hesitation on acceleration, rough idle",3,Injector seal failure,Replace fuel injectors,2726,5180
moto,Honda,CB500,2014,10,81779,petrol,automatic,125,high,"steering wheel vibration, front end wandering, suspension noise",3,Ball joint socket failure,Replace ball joint,1860,3256
car,BMW,Serie 5,2022,2,325610,hybrid,automatic,2000,low,"battery drains while driving, electrical accessories failing, alternator warning light",3,Alternator belt wear,Replace alternator,1918,3357
car,Peugeot,208,2018,6,286601,diesel,automatic,1800,low,oil burning smell,1,Oil pan seal failure,Fix oil leak,1312,2461
car,Renault,Megane,2023,1,150404,diesel,manual,1800,high,grinding brake noise,1,Disc surface wear,Replace brake discs,2754,4590
car,Peugeot,308,2019,5,109096,diesel,automatic,2000,high,"difficulty starting, battery warning light, car does not start",3,Battery cell failure,Replace battery,1272,2121
car,Ford,Transit,2018,6,151718,diesel,manual,1200,low,"nose dive when braking, excessive bouncing after bump",2,Shock absorber oil leak,Replace shock absorbers,1520,2626
moto,Honda,PCX,2017,7,127775,hybrid,manual,600,medium,front end wandering,1,Ball joint socket failure,Replace ball joint,1363,2386
car,Dacia,Duster,2022,2,198632,hybrid,manual,1800,medium,"dim headlights, battery warning light, car does not start, difficulty starting",4,Dead battery,Replace battery,1017,1696
moto,Yamaha,XT660,2019,5,257147,petrol,automatic,600,high,"AC clutch not engaging, AC compressor noise",2,Compressor clutch wear,Replace AC compressor,6122,11019
moto,Yamaha,MT-07,2016,8,99890,diesel,automatic,250,low,check engine light on,1,Failed O2 sensor,Replace oxygen sensor,757,1388
car,Mercedes,Vito,2013,11,294438,hybrid,automatic,1200,critical,"engine slow to warm up, engine overheating, heater not working",3,Thermostat valve failure,Replace thermostat,1680,2987
car,Mercedes,C-Class,2005,19,33960,diesel,automatic,2500,low,"rough idle, white smoke from exhaust",2,Blown head gasket,Replace head gasket,5499,9623
bus,Isuzu,NPR,2023,1,252102,hybrid,automatic,5000,medium,poor fuel consumption,1,Thermostat valve failure,Replace thermostat,831,1477
bus,Volvo,FM,2019,5,70829,diesel,automatic,5000,medium,"poor fuel consumption, engine slow to warm up",2,Thermostat valve failure,Replace thermostat,744,1324
car,BMW,Serie 1,2015,9,165782,diesel,manual,2000,high,"front end wandering, clunking noise when turning",2,Ball joint wear,Replace ball joint,1836,3214
car,Ford,Transit,2007,17,145042,petrol,automatic,2000,medium,engine misfires,1,Spark plug electrode wear,Replace spark plugs,547,1095
moto,Honda,PCX,2021,3,124838,hybrid,manual,700,critical,ticking noise from engine top,1,Timing belt wear,Replace timing belt,3327,5887
moto,Yamaha,XT660,2007,17,107614,petrol,manual,400,medium,"clutch slipping, burning smell when changing gears, clutch pedal spongy",3,Worn clutch disc,Replace clutch kit,3801,6652
car,Dacia,Duster,2014,10,278095,hybrid,manual,2500,critical,"engine slow to warm up, poor fuel consumption",2,Stuck thermostat,Replace thermostat,1574,2799
truck,Isuzu,Forward,2011,13,130959,diesel,manual,4000,medium,car pulls to one side when braking,1,Seized caliper,Replace brake caliper,1719,3094
car,Hyundai,Santa Fe,2005,19,179412,hybrid,automatic,1400,critical,"brake pedal soft, brake pedal vibration, squeaking brakes",3,Brake pad degradation,Replace brake pads,1965,3603
